fuente;tabla;Anio;DepartamentoCodigo;EstacionAgr;columna;n_registros;n_vacios;n_marcadores_nulo;n_ceros;n_guiones;n_faltantes_csv;n_presentes;porcentaje_faltantes
INIA;INIA;2016;18;Tacuarembó La Magnolia;EvapotranspPenman;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;GradosMenos10;366;40;0;15;0;40;326;10,929
INIA;INIA;2016;18;Tacuarembó La Magnolia;GradosMenos10p5;366;49;0;16;0;49;317;13,388
INIA;INIA;2016;18;Tacuarembó La Magnolia;GradosMenos12p8;366;86;0;26;0;86;280;23,4973
INIA;INIA;2016;18;Tacuarembó La Magnolia;GradosMenos4p5;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;GradosMenos6;366;4;0;1;0;4;362;1,0929
INIA;INIA;2016;18;Tacuarembó La Magnolia;GradosMenos7;366;8;0;1;0;8;358;2,1858
INIA;INIA;2016;18;Tacuarembó La Magnolia;GradosMenos8;366;16;0;3;0;16;350;4,3716
INIA;INIA;2016;18;Tacuarembó La Magnolia;GradosMenos9;366;28;0;7;0;28;338;7,6503
INIA;INIA;2016;18;Tacuarembó La Magnolia;HR100;366;0;0;313;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;HR90y99;366;0;0;27;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;HRMax;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;HRMed;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;HRMin;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;HeladaAgromet;366;0;0;344;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;HeladaMeteo;366;0;0;364;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;Heliofania(hrs);366;0;0;51;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;HeliofaniaRelativa;366;0;0;51;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;Llovio;366;0;0;279;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;Mes;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;PrecipAcum;366;0;0;279;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;PrecipEfectiva;366;0;0;279;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;RadSolar;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;RecorridoViento;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;TMedia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;TMin15;366;0;0;135;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;TMinSCesped;366;0;0;3;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempAireMax;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempAireMedia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempAireMin;366;0;0;2;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempMin7p2;366;0;0;273;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSC05cm(max);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSC05cm(med);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSC05cm(min);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSC10cm(max);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSC10cm(med);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSC10cm(min);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSD05cm(max);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSD05cm(med);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSD05cm(min);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSD10cm(max);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSD10cm(med);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;TempSD10cm(min);366;122;0;0;0;122;244;33,3333
INIA;INIA;2016;18;Tacuarembó La Magnolia;UnTermicasArroz;366;0;0;48;0;0;366;0,0
INIA;INIA;2016;18;Tacuarembó La Magnolia;UnidadFrio;366;0;0;5;0;0;366;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;AmplitudTermica;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;Anio;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;Dia;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;EstacionAgr;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;EvapPiche;61;3;0;0;0;3;58;4,918
INIA;INIA;2016;18;Tacuaremnó Glencore;EvapTanque;61;3;0;0;0;3;58;4,918
INIA;INIA;2016;18;Tacuaremnó Glencore;EvapotranspPenman;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;GradosMenos10;61;1;0;0;0;1;60;1,6393
INIA;INIA;2016;18;Tacuaremnó Glencore;GradosMenos10p5;61;1;0;0;0;1;60;1,6393
INIA;INIA;2016;18;Tacuaremnó Glencore;GradosMenos12p8;61;2;0;0;0;2;59;3,2787
INIA;INIA;2016;18;Tacuaremnó Glencore;GradosMenos4p5;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;GradosMenos6;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;GradosMenos7;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;GradosMenos8;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;GradosMenos9;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;HR100;61;0;0;46;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;HR90y99;61;0;0;12;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;HRMax;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;HRMed;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;HRMin;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;HeladaAgromet;61;0;0;60;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;HeladaMeteo;61;0;0;61;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;Heliofania(hrs);61;0;0;2;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;HeliofaniaRelativa;61;0;0;2;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;Llovio;61;0;0;48;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;Mes;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;PrecipAcum;61;1;0;47;0;1;60;1,6393
INIA;INIA;2016;18;Tacuaremnó Glencore;PrecipEfectiva;61;0;0;48;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;RadSolar;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;RecorridoViento;61;2;0;0;0;2;59;3,2787
INIA;INIA;2016;18;Tacuaremnó Glencore;TMedia;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TMin15;61;0;0;19;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TMinSCesped;61;1;0;0;0;1;60;1,6393
INIA;INIA;2016;18;Tacuaremnó Glencore;TempAireMax;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempAireMedia;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempAireMin;61;0;0;0;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempMin7p2;61;0;0;39;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSC05cm(max);61;61;0;0;0;61;0;100,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSC05cm(med);61;61;0;0;0;61;0;100,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSC05cm(min);61;61;0;0;0;61;0;100,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSC10cm(max);61;23;0;0;0;23;38;37,7049
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSC10cm(med);61;23;0;0;0;23;38;37,7049
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSC10cm(min);61;23;0;0;0;23;38;37,7049
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSD05cm(max);61;61;0;0;0;61;0;100,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSD05cm(med);61;61;0;0;0;61;0;100,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSD05cm(min);61;61;0;0;0;61;0;100,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSD10cm(max);61;61;0;0;0;61;0;100,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSD10cm(med);61;61;0;0;0;61;0;100,0
INIA;INIA;2016;18;Tacuaremnó Glencore;TempSD10cm(min);61;61;0;0;0;61;0;100,0
INIA;INIA;2016;18;Tacuaremnó Glencore;UnTermicasArroz;61;0;0;1;0;0;61;0,0
INIA;INIA;2016;18;Tacuaremnó Glencore;UnidadFrio;61;0;0;14;0;0;61;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;AmplitudTermica;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;Anio;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;Dia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;EstacionAgr;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;EvapPiche;366;0;0;1;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;EvapTanque;366;0;0;2;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;EvapotranspPenman;366;1;0;0;0;1;365;0,2732
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;GradosMenos10;366;41;0;11;0;41;325;11,2022
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;GradosMenos10p5;366;45;0;14;0;45;321;12,2951
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;GradosMenos12p8;366;88;0;26;0;88;278;24,0437
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;GradosMenos4p5;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;GradosMenos6;366;3;0;0;0;3;363;0,8197
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;GradosMenos7;366;13;0;3;0;13;353;3,5519
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;GradosMenos8;366;23;0;0;0;23;343;6,2842
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;GradosMenos9;366;30;0;5;0;30;336;8,1967
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;HR100;366;0;0;259;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;HR90y99;366;0;0;2;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;HRMax;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;HRMed;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;HRMin;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;HeladaAgromet;366;0;0;338;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;HeladaMeteo;366;0;0;359;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;Heliofania(hrs);366;0;0;50;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;HeliofaniaRelativa;366;0;0;50;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;Llovio;366;0;0;258;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;Mes;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;PrecipAcum;366;1;0;257;0;1;365;0,2732
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;PrecipEfectiva;366;0;0;258;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;RadSolar;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;RecorridoViento;366;1;0;0;0;1;365;0,2732
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TMedia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TMin15;366;0;0;114;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TMinSCesped;366;1;0;4;0;1;365;0,2732
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempAireMax;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;19;Treinta y Tres Paso de la Laguna;TempAireMedia;366;0;0;0;0;0;366;0,0
